Item,Form,Price
AMLODIPINE TABS 5MG UK,Tab,GHS 0.50
AMMENS POWDER 311G,Pcs,GHS 126.00
AMOFLUX CAPS 500MG (ENTRANCE),Cap,GHS 1.00
AMOFLUX SUSP (ENTRANCE),Btl,GHS 20.00
AMOKSIKLAV DISPERSIBLE TAB 1G,Tab,GHS 6.60
AMOKSIKLAV INJ 1.2G,Pack,GHS 50.00
AMOKSIKLAV INJ 600MG,Amp,GHS 52.00
AMOKSIKLAV SUSP 156.25/5ML 75ML,Btl,GHS 33.00
AMOKSIKLAV SUSP 228.5MG/5ML 70ML,Btl,GHS 94.63
AMOKSIKLAV SUSP 312.5MG/ML 75ML,Btl,GHS 45.00
AMOKSIKLAV SUSP 457MG/5ML 70ML,Btl,GHS 79.92
AMOKSIKLAV TABS 1G,Tab,GHS 14.84
AMOKSIKLAV TABS 625MG,Tab,GHS 8.50
AMOXICILLIN SUSP 125/5ML 100ML(LETAP),Btl,GHS 6.00
AMOXICILLIN SUSP 125MG/5ML 100ML (LUEX),Btl,GHS 15.60
AMOXICILLIN SUSP 125MG/5ML 100ML UK,Btl,GHS 40.80
AMOXIL 125MG/5ML SUSP 100ML GSK,Btl,GHS 65.00
AMOXYCILLIN (MAXMOX) CAPS 500MG  (ESKAY),Tab,GHS 1.04
AMOXYCILLIN CAPS 250MG (ESKAY),Cap,GHS 0.40
AMOXYCILLIN CAPS 250MG (GR),Cap,GHS 0.40
AMOXYCILLIN CAPS 250MG (LETAP),Cap,GHS 37.13
